Name,Position1,Position2,Position3,Rotation1,Rotation2,Rotation3,Depthmap,Background,Resolution1,Resolution2,Projection,Focal1,Focal2,Principle_point1,Principle_point2,Depth_range1,Depth_range2,BitDepthColor,BitDepthDepth,HasInvalidDepth,ColorSpace,DepthColorSpace,Hor_range1,Hor_range2,Ver_range1,Ver_range2
viewport,0,0,0,0,0,0,1,1,2048,2048,Perspective,1024,1024,1024,1024,0.8,1000,10,10,TRUE,YUV420,YUV420,NA,NA,NA,NA
center,0,0,0,0,0,0,1,1,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v0,0,0,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v1,-0.051961524,0.03,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v2,-0.051961524,-0.03,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v3,0,0.06,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v4,0,-0.06,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v5,0.051961524,0.03,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v6,0.051961524,-0.03,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v7,0,0,-0.06,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v8,0,0,0.06,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v9,-0.103923049,0,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v10,-0.051961524,0.09,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v11,-0.051961524,-0.09,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v12,0.051961524,0.09,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v13,0.051961524,-0.09,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v14,0.103923049,0,0,0,0,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v15,0,-0.09,0,20,5,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v16,0.205,0.09,0,-20,-5,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v17,-0.029517667,-0.00647,-0.0157,-31.01406667,-0.2664512,3.021916667,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v18,0,0,0,0.0000185,-0.00000299,0.000032,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v19,-0.0201,0.072438,0.027362,105.51,20,0,1,0,4096,2048,Equirectangular,NA,NA,NA,NA,0.8,1000,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
