Name,Position1,Position2,Position3,Rotation1,Rotation2,Rotation3,Depthmap,Background,Resolution1,Resolution2,Projection,Focal1,Focal2,Principle_point1,Principle_point2,Depth_range1,Depth_range2,BitDepthColor,BitDepthDepth,ColorSpace,DepthColorSpace,Hor_range1,Hor_range2,Ver_range1,Ver_range2
viewport,0,0,1.65,0,0,0,1,1,2048,2048,Perspective,1024,1024,1024,1024,0.5,25,10,10,YUV420,YUV420,NA,NA,NA,NA
center,0,0,1.65,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v0,0.3,0,1.65,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v1,0.0927,-0.2853,1.65,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v2,-0.2427,-0.1763,1.65,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v3,-0.2427,0.1763,1.65,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v4,0.0927,0.2853,1.65,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v5,-0.15,0,1.3902,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v6,0.15,0,1.3902,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v7,-0.15,0,1.9098,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v8,0.15,0,1.9098,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v9,0,0,1.65,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v10,0.15,0.0017546,0,-7.5251,-0.010033,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v11,0,-0.25742,0,0,3,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v12,0,-0.2,0.02662,-0.3,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v13,0,0,0.0284013,-30,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
v14,0.29101,0.072053,0.012185,0,0,0,1,1,4096,4096,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,YUV420,YUV420,-90,90,-90,90
