"","Dataset","Frame","Synthesized.View","X.passes","WS.PSNR","CEL","theo_time","p1","p2","p3","V1","V2","V3","V4","V5","V6","V7"
"1","ClassroomVideo",20,1,1,31.5497,0.0855691794776811,134.975,1,0,0,0,10,7,8,12,11,13
"2","ClassroomVideo",20,1,1,32.0082,0.0841629403271703,142.678,2,0,0,0,10,7,8,12,11,13
"3","ClassroomVideo",20,1,1,32.0122,0.0838928658728219,143.185,3,0,0,0,10,7,8,12,11,13
"4","ClassroomVideo",20,1,1,32.0098,0.0837550212006248,143.392,4,0,0,0,10,7,8,12,11,13
"5","ClassroomVideo",20,1,1,32.0208,0.0829037842162252,144.997,5,0,0,0,10,7,8,12,11,13
"6","ClassroomVideo",20,1,1,32.0794,0.082395312510658,146.603,6,0,0,0,10,7,8,12,11,13
"7","ClassroomVideo",20,1,1,32.1673,0.0802841250255686,151.553,7,0,0,0,10,7,8,12,11,13
"8","ClassroomVideo",20,1,2,31.7296,0.0822102917057991,142.678,1,2,0,0,10,7,8,12,11,13
"9","ClassroomVideo",20,1,2,31.7296,0.0819191954464504,143.185,1,3,0,0,10,7,8,12,11,13
"10","ClassroomVideo",20,1,2,31.7297,0.081801634679759,143.392,1,4,0,0,10,7,8,12,11,13
"11","ClassroomVideo",20,1,2,31.7296,0.0808954668027614,144.997,1,5,0,0,10,7,8,12,11,13
"12","ClassroomVideo",20,1,2,31.7424,0.08009658738225,146.603,1,6,0,0,10,7,8,12,11,13
"13","ClassroomVideo",20,1,2,31.7404,0.0774672886712899,151.553,1,7,0,0,10,7,8,12,11,13
"14","ClassroomVideo",20,1,2,32.0082,0.0838649299856829,143.185,2,3,0,0,10,7,8,12,11,13
"15","ClassroomVideo",20,1,2,32.0082,0.0837438629770141,143.392,2,4,0,0,10,7,8,12,11,13
"16","ClassroomVideo",20,1,2,32.0077,0.0828134375193969,144.997,2,5,0,0,10,7,8,12,11,13
"17","ClassroomVideo",20,1,2,32.0192,0.0819846797132391,146.603,2,6,0,0,10,7,8,12,11,13
"18","ClassroomVideo",20,1,2,32.0201,0.0793128476506569,151.553,2,7,0,0,10,7,8,12,11,13
"19","ClassroomVideo",20,1,2,32.0122,0.0837717585360411,143.392,3,4,0,0,10,7,8,12,11,13
"20","ClassroomVideo",20,1,2,32.0117,0.0828410242970544,144.997,3,5,0,0,10,7,8,12,11,13
"21","ClassroomVideo",20,1,2,32.0231,0.0820112821702148,146.603,3,6,0,0,10,7,8,12,11,13
"22","ClassroomVideo",20,1,2,32.0241,0.0793392410575838,151.553,3,7,0,0,10,7,8,12,11,13
"23","ClassroomVideo",20,1,2,32.0093,0.08282447223046,144.997,4,5,0,0,10,7,8,12,11,13
"24","ClassroomVideo",20,1,2,32.0207,0.0819949114274605,146.603,4,6,0,0,10,7,8,12,11,13
"25","ClassroomVideo",20,1,2,32.0217,0.0793234050134277,151.553,4,7,0,0,10,7,8,12,11,13
"26","ClassroomVideo",20,1,2,32.0322,0.0820733545698246,146.603,5,6,0,0,10,7,8,12,11,13
"27","ClassroomVideo",20,1,2,32.0327,0.0793959868824767,151.553,5,7,0,0,10,7,8,12,11,13
"28","ClassroomVideo",20,1,2,32.0801,0.0797087487545611,151.553,6,7,0,0,10,7,8,12,11,13
"29","ClassroomVideo",20,1,3,31.7296,0.0819191954464504,143.185,1,2,3,0,10,7,8,12,11,13
"30","ClassroomVideo",20,1,3,31.7296,0.0818009372907833,143.392,1,2,4,0,10,7,8,12,11,13
