"","Dataset","Frame","Synthesized.View","X.passes","WS.PSNR","CEL","theo_time","p1","p2","p3","V1","V2","V3","V4","V5","V6","V7"
"1","TechnicolorHijack",50,0,1,13.8576,-0.116265071643543,52.831,1,0,0,8,9,1,4,5,2,3
"2","TechnicolorHijack",50,0,1,34.0049,0.0510278514588859,274.456,2,0,0,8,9,1,4,5,2,3
"3","TechnicolorHijack",50,0,1,34.0339,0.0504444564260168,278.205,3,0,0,8,9,1,4,5,2,3
"4","TechnicolorHijack",50,0,1,34.5467,0.0502994446788058,289.202,4,0,0,8,9,1,4,5,2,3
"5","TechnicolorHijack",50,0,1,34.6651,0.043999435946979,333.302,5,0,0,8,9,1,4,5,2,3
"6","TechnicolorHijack",50,0,1,34.7461,0.0284910253685492,517.57,6,0,0,8,9,1,4,5,2,3
"7","TechnicolorHijack",50,0,1,34.7387,0.0284011662077245,518.947,7,0,0,8,9,1,4,5,2,3
"8","TechnicolorHijack",50,0,2,32.5863,0.0458590812370653,274.456,1,2,0,8,9,1,4,5,2,3
"9","TechnicolorHijack",50,0,2,32.6155,0.0453460577631603,278.205,1,3,0,8,9,1,4,5,2,3
"10","TechnicolorHijack",50,0,2,32.9698,0.0448468544477562,289.202,1,4,0,8,9,1,4,5,2,3
"11","TechnicolorHijack",50,0,2,33.0528,0.0391620812356361,333.302,1,5,0,8,9,1,4,5,2,3
"12","TechnicolorHijack",50,0,2,33.1007,0.0253119384817513,517.57,1,6,0,8,9,1,4,5,2,3
"13","TechnicolorHijack",50,0,2,33.0956,0.0252349469213619,518.947,1,7,0,8,9,1,4,5,2,3
"14","TechnicolorHijack",50,0,2,34.0075,0.0503495623730702,278.205,2,3,0,8,9,1,4,5,2,3
"15","TechnicolorHijack",50,0,2,34.3831,0.0497337501123782,289.202,2,4,0,8,9,1,4,5,2,3
"16","TechnicolorHijack",50,0,2,34.5435,0.0436346016525553,333.302,2,5,0,8,9,1,4,5,2,3
"17","TechnicolorHijack",50,0,2,34.5773,0.0281648859091524,517.57,2,6,0,8,9,1,4,5,2,3
"18","TechnicolorHijack",50,0,2,34.5761,0.0280878394132734,518.947,2,7,0,8,9,1,4,5,2,3
"19","TechnicolorHijack",50,0,2,34.4137,0.0498395585092773,289.202,3,4,0,8,9,1,4,5,2,3
"20","TechnicolorHijack",50,0,2,34.5769,0.0437348110722408,333.302,3,5,0,8,9,1,4,5,2,3
"21","TechnicolorHijack",50,0,2,34.6103,0.0282286454006221,517.57,3,6,0,8,9,1,4,5,2,3
"22","TechnicolorHijack",50,0,2,34.6093,0.0281518151179215,518.947,3,7,0,8,9,1,4,5,2,3
"23","TechnicolorHijack",50,0,2,34.6798,0.0440435400927687,333.302,4,5,0,8,9,1,4,5,2,3
"24","TechnicolorHijack",50,0,2,34.7238,0.028447939409162,517.57,4,6,0,8,9,1,4,5,2,3
"25","TechnicolorHijack",50,0,2,34.7215,0.0283680221679671,518.947,4,7,0,8,9,1,4,5,2,3
"26","TechnicolorHijack",50,0,2,34.7026,0.0284069787661572,517.57,5,6,0,8,9,1,4,5,2,3
"27","TechnicolorHijack",50,0,2,34.7003,0.028327170211987,518.947,5,7,0,8,9,1,4,5,2,3
"28","TechnicolorHijack",50,0,2,34.7471,0.0284173528317921,518.947,6,7,0,8,9,1,4,5,2,3
"29","TechnicolorHijack",50,0,3,32.5899,0.0452540392875757,278.205,1,2,3,8,9,1,4,5,2,3
"30","TechnicolorHijack",50,0,3,32.8573,0.0444578529885686,289.202,1,2,4,8,9,1,4,5,2,3
"31","TechnicolorHijack",50,0,3,32.9696,0.0389124577710305,333.302,1,2,5,8,9,1,4,5,2,3
"32","TechnicolorHijack",50,0,3,32.987,0.0250922580520509,517.57,1,2,6,8,9,1,4,5,2,3
"33","TechnicolorHijack",50,0,3,32.9871,0.0250258696938223,518.947,1,2,7,8,9,1,4,5,2,3
"34","TechnicolorHijack",50,0,3,32.8852,0.0445543253504471,289.202,1,3,4,8,9,1,4,5,2,3
"35","TechnicolorHijack",50,0,3,32.9993,0.0390015661472178,333.302,1,3,5,8,9,1,4,5,2,3
"36","TechnicolorHijack",50,0,3,33.0184,0.0251529261742373,517.57,1,3,6,8,9,1,4,5,2,3
"37","TechnicolorHijack",50,0,3,33.0186,0.0250865695340757,518.947,1,3,7,8,9,1,4,5,2,3
"38","TechnicolorHijack",50,0,3,33.0619,0.0391893838020774,333.302,1,4,5,8,9,1,4,5,2,3
"39","TechnicolorHijack",50,0,3,33.0859,0.02528334331588,517.57,1,4,6,8,9,1,4,5,2,3
"40","TechnicolorHijack",50,0,3,33.0852,0.025214906339183,518.947,1,4,7,8,9,1,4,5,2,3
"41","TechnicolorHijack",50,0,3,33.0723,0.0252570666769712,517.57,1,5,6,8,9,1,4,5,2,3
"42","TechnicolorHijack",50,0,3,33.0716,0.025188699424026,518.947,1,5,7,8,9,1,4,5,2,3
"43","TechnicolorHijack",50,0,3,33.1014,0.0252461233998848,518.947,1,6,7,8,9,1,4,5,2,3
"44","TechnicolorHijack",50,0,3,34.3841,0.0497372079031265,289.202,2,3,4,8,9,1,4,5,2,3
"45","TechnicolorHijack",50,0,3,34.5463,0.0436430024422296,333.302,2,3,5,8,9,1,4,5,2,3
"46","TechnicolorHijack",50,0,3,34.5775,0.0281652723303128,517.57,2,3,6,8,9,1,4,5,2,3
"47","TechnicolorHijack",50,0,3,34.5766,0.0280888029028012,518.947,2,3,7,8,9,1,4,5,2,3
"48","TechnicolorHijack",50,0,3,34.5178,0.043557494404474,333.302,2,4,5,8,9,1,4,5,2,3
"49","TechnicolorHijack",50,0,3,34.5542,0.0281202542651236,517.57,2,4,6,8,9,1,4,5,2,3
"50","TechnicolorHijack",50,0,3,34.5523,0.0280419773117486,518.947,2,4,7,8,9,1,4,5,2,3
"51","TechnicolorHijack",50,0,3,34.5748,0.0281600556446471,517.57,2,5,6,8,9,1,4,5,2,3
"52","TechnicolorHijack",50,0,3,34.5729,0.0280816730802953,518.947,2,5,7,8,9,1,4,5,2,3
"53","TechnicolorHijack",50,0,3,34.5784,0.0280922714651014,518.947,2,6,7,8,9,1,4,5,2,3
"54","TechnicolorHijack",50,0,3,34.5495,0.0436526033447144,333.302,3,4,5,8,9,1,4,5,2,3
"55","TechnicolorHijack",50,0,3,34.588,0.028185559441235,517.57,3,4,6,8,9,1,4,5,2,3
"56","TechnicolorHijack",50,0,3,34.5861,0.0281071092038301,518.947,3,4,7,8,9,1,4,5,2,3
"57","TechnicolorHijack",50,0,3,34.6106,0.0282292250323628,517.57,3,5,6,8,9,1,4,5,2,3
"58","TechnicolorHijack",50,0,3,34.6086,0.0281504662325825,518.947,3,5,7,8,9,1,4,5,2,3
"59","TechnicolorHijack",50,0,3,34.6115,0.0281560544718439,518.947,3,6,7,8,9,1,4,5,2,3
"60","TechnicolorHijack",50,0,3,34.7186,0.0284378924589911,517.57,4,5,6,8,9,1,4,5,2,3
"61","TechnicolorHijack",50,0,3,34.7163,0.0283580018768776,518.947,4,5,7,8,9,1,4,5,2,3
"62","TechnicolorHijack",50,0,3,34.7245,0.028373803105134,518.947,4,6,7,8,9,1,4,5,2,3
"63","TechnicolorHijack",50,0,3,34.7033,0.028332951149154,518.947,5,6,7,8,9,1,4,5,2,3
"64","TechnicolorHijack",50,6,1,31.7478,0.0415103406605444,283.009,1,0,0,9,5,1,4,2,3,8
"65","TechnicolorHijack",50,6,1,32.7198,0.0395277724258376,321.794,2,0,0,9,5,1,4,2,3,8
"66","TechnicolorHijack",50,6,1,32.7176,0.0389638321665467,326.395,3,0,0,9,5,1,4,2,3,8
"67","TechnicolorHijack",50,6,1,32.901,0.0377773417940211,341.501,4,0,0,9,5,1,4,2,3,8
"68","TechnicolorHijack",50,6,1,32.9399,0.0241274251139722,536.315,5,0,0,9,5,1,4,2,3,8
"69","TechnicolorHijack",50,6,1,32.9412,0.0240776814635789,537.477,6,0,0,9,5,1,4,2,3,8
"70","TechnicolorHijack",50,6,1,32.9688,0.023986712683986,540.666,7,0,0,9,5,1,4,2,3,8
"71","TechnicolorHijack",50,6,2,32.1512,0.0377608034954039,321.794,1,2,0,9,5,1,4,2,3,8
"72","TechnicolorHijack",50,6,2,32.1401,0.0371945035922732,326.395,1,3,0,9,5,1,4,2,3,8
"73","TechnicolorHijack",50,6,2,32.2453,0.0358572888512772,341.501,1,4,0,9,5,1,4,2,3,8
"74","TechnicolorHijack",50,6,2,32.2993,0.0229329778208702,536.315,1,5,0,9,5,1,4,2,3,8
"75","TechnicolorHijack",50,6,2,32.3028,0.0228899097077642,537.477,1,6,0,9,5,1,4,2,3,8
