"","Dataset","Frame","Synthesized.View","X.passes","WS.PSNR","CEL","theo_time","p1","p2","p3","V1","V2","V3","V4","V5","V6","V7"
"1","TechnicolorMuseum",50,2,1,13.6365,-0.371526156001868,17.128,1,0,0,4,1,11,13,0,17,12
"2","TechnicolorMuseum",50,2,1,13.5132,-0.318073943316662,20.394,2,0,0,4,1,11,13,0,17,12
"3","TechnicolorMuseum",50,2,1,20.6661,0.00897176876245892,74.244,3,0,0,4,1,11,13,0,17,12
"4","TechnicolorMuseum",50,2,1,21.1065,0.0107611063564927,102.824,4,0,0,4,1,11,13,0,17,12
"5","TechnicolorMuseum",50,2,1,21.1365,0.00975343923517247,116.523,5,0,0,4,1,11,13,0,17,12
"6","TechnicolorMuseum",50,2,1,27.4928,0.0468587009543345,159.902,6,0,0,4,1,11,13,0,17,12
"7","TechnicolorMuseum",50,2,1,27.4928,0.0469994919177283,159.423,7,0,0,4,1,11,13,0,17,12
"8","TechnicolorMuseum",50,2,2,13.5131,-0.318078846719623,20.394,1,2,0,4,1,11,13,0,17,12
"9","TechnicolorMuseum",50,2,2,20.6398,0.00861753138300739,74.244,1,3,0,4,1,11,13,0,17,12
"10","TechnicolorMuseum",50,2,2,21.0774,0.010478098498405,102.824,1,4,0,4,1,11,13,0,17,12
"11","TechnicolorMuseum",50,2,2,21.1072,0.00950198673223311,116.523,1,5,0,4,1,11,13,0,17,12
"12","TechnicolorMuseum",50,2,2,27.3682,0.0460794736776276,159.902,1,6,0,4,1,11,13,0,17,12
"13","TechnicolorMuseum",50,2,2,27.3682,0.0462179233862115,159.423,1,7,0,4,1,11,13,0,17,12
"14","TechnicolorMuseum",50,2,2,20.258,0.00347502828511394,74.244,2,3,0,4,1,11,13,0,17,12
"15","TechnicolorMuseum",50,2,2,20.657,0.0063895588578542,102.824,2,4,0,4,1,11,13,0,17,12
"16","TechnicolorMuseum",50,2,2,20.6785,0.00582288475236648,116.523,2,5,0,4,1,11,13,0,17,12
"17","TechnicolorMuseum",50,2,2,25.7869,0.0361902915535766,159.902,2,6,0,4,1,11,13,0,17,12
"18","TechnicolorMuseum",50,2,2,25.7869,0.0362990283710631,159.423,2,7,0,4,1,11,13,0,17,12
"19","TechnicolorMuseum",50,2,2,21.0994,0.0106920563292616,102.824,3,4,0,4,1,11,13,0,17,12
"20","TechnicolorMuseum",50,2,2,21.123,0.00963758227989325,116.523,3,5,0,4,1,11,13,0,17,12
"21","TechnicolorMuseum",50,2,2,27.4245,0.046431564333154,159.902,3,6,0,4,1,11,13,0,17,12
"22","TechnicolorMuseum",50,2,2,27.4245,0.0465710719281408,159.423,3,7,0,4,1,11,13,0,17,12
