Dataset,Frame,Source view,Synthesized View,#passes,#viewperpasses,Execution time (sec),WS-PSNR,Sorted_selected_view
ClassroomVideo,20,"0,7,8,10,11,12,13",1,1,1,134.975,31.5497,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,1,2,142.678,32.0082,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,1,3,143.185,32.0122,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,1,4,143.392,32.0098,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,1,5,144.997,32.0208,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,1,6,146.603,32.0794,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,1,7,151.553,32.1673,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,2,"1,2",273.601,31.7296,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,2,"1,3",273.843,31.7296,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,2,"1,4",274.622,31.7297,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,2,"1,5",275.605,31.7296,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,2,"1,6",277.755,31.7424,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,2,"1,7",282.231,31.7404,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,2,"2,3",281.964,32.0082,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,2,"2,4",282.718,32.0082,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,2,"2,5",284.266,32.0077,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,2,"2,6",285.86,32.0192,"0,3,1,2,5,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",1,2,"2,7",290.155,32.0201,"0,3,1,2,5,4,6"
