Dataset,Frame,Source view,Synthesized View,#passes,#viewperpasses,Execution time (sec),WS-PSNR,Sorted_selected_view
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,1,1,52.831,13.8576,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,1,2,274.456,34.0049,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,1,3,278.205,34.0339,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,1,4,289.202,34.5467,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,1,5,333.302,34.6651,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,1,6,517.57,34.7461,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,1,7,518.947,34.7387,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"1,2",313.301,32.5863,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"1,3",317.006,32.6155,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"1,4",327.767,32.9698,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"1,5",373.181,33.0528,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"1,6",555.617,33.1007,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"1,7",556.389,33.0956,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"2,3",543.903,34.0075,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"2,4",554.55,34.3831,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"2,5",598.491,34.5435,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"2,6",782.539,34.5773,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"2,7",783.96,34.5761,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"3,4",559.006,34.4137,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"3,5",602.6,34.5769,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"3,6",786.222,34.6103,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"3,7",787.245,34.6093,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"4,5",610.35,34.6798,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"4,6",798.101,34.7238,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"4,7",798.816,34.7215,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"5,6",841.817,34.7026,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"5,7",842.017,34.7003,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,2,"6,7",1026.834,34.7471,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,2,3",582.132,32.5899,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,2,4",592.489,32.8573,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,2,5",646.107,32.9696,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,2,6",822.777,32.987,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,2,7",820.089,32.9871,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,3,4",596.585,32.8852,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,3,5",638.36,32.9993,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,3,6",825.013,33.0184,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,3,7",825.618,33.0186,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,4,5",648.697,33.0619,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,4,6",836.251,33.0859,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,4,7",836.051,33.0852,"5,6,0,3,4,1,2"
TechnicolorHijack,50,"1,2,3,4,5,8,9",0,3,"1,5,6",878.927,33.0723,"5,6,0,3,4,1,2"
