Dataset,Frame,Source view,Synthesized View,#passes,#viewperpasses,Execution time (sec),WS-PSNR,Sorted_selected_view
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,1,1,17.128,13.6365,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,1,2,20.394,13.5132,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,1,3,74.244,20.6661,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,1,4,102.824,21.1065,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,1,5,116.523,21.1365,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,1,6,159.902,27.4928,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,1,7,159.423,27.4928,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"1,2",33.36,13.5131,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"1,3",87.065,20.6398,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"1,4",116.185,21.0774,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"1,5",129.171,21.1072,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"1,6",172.428,27.3682,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"1,7",173.127,27.3682,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"2,3",90.626,20.258,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"2,4",119.289,20.657,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"2,5",132.541,20.6785,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"2,6",176.37,25.7869,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"2,7",176.621,25.7869,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"3,4",173.566,21.0994,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"3,5",187.071,21.123,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"3,6",231.468,27.4245,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"3,7",230.735,27.4245,"2,1,3,5,0,6,4"
TechnicolorMuseum,50,"0,1,4,11,12,13,17",2,2,"4,5",216.374,21.1301,"2,1,3,5,0,6,4"
